applicant_id,age,gender,education,employment_status,annual_income,monthly_expenses,existing_debts,loan_amount,loan_term,credit_score,debt_to_income_ratio,loan_to_income_ratio,approval_score,loan_approved,application_date
APP00001,39,Male,Associate,Employed,42697,2323.0,397.0,100432,48,700.0,0.5973,2.3522,58.64,1,2023-01-01
APP00002,33,Male,High School,Employed,24587,912.0,1435.0,6741,360,705.0,0.0675,0.2742,73.91,1,2023-01-01
APP00003,41,Male,Master,Self-Employed,89863,3164.0,6852.0,12385,84,850.0,0.0959,0.1378,88.29,1,2023-01-01
APP00004,50,Male,Bachelor,Employed,27474,1058.0,7279.0,46117,240,654.0,0.3489,1.6786,65.14,1,2023-01-01
APP00005,32,Male,Bachelor,Employed,144704,7981.0,11893.0,33383,120,640.0,0.1053,0.2307,72.78,1,2023-01-01
APP00006,32,Female,High School,Unemployed,13260,783.0,5176.0,33196,240,805.0,0.5155,2.5035,42.85,0,2023-01-01
APP00007,50,Female,Bachelor,Unemployed,16037,793.0,12829.0,45889,48,636.0,1.5153,2.8614,16.14,0,2023-01-01
APP00008,42,Female,Master,Unemployed,6359,244.0,1447.0,31926,24,737.0,2.7379,5.0206,40.08,0,2023-01-01
APP00009,30,Male,Bachelor,Employed,54323,2060.0,8945.0,17198,180,669.0,0.1858,0.3166,79.53,1,2023-01-01
APP00010,40,Male,PhD,Self-Employed,148051,4468.0,11046.0,44491,180,742.0,0.0946,0.3005,85.2,1,2023-01-01
APP00011,30,Male,PhD,Employed,98915,6319.0,1029.0,27356,84,722.0,0.0499,0.2766,84.03,1,2023-01-01
APP00012,30,Other,High School,Employed,20790,1072.0,2654.0,18806,84,609.0,0.2569,0.9046,45.02,0,2023-01-01
APP00013,37,Female,High School,Self-Employed,27271,712.0,1836.0,46736,240,465.0,0.153,1.7138,43.24,0,2023-01-01
APP00014,21,Female,Master,Employed,50837,2673.0,3295.0,45289,36,482.0,0.3618,0.8909,44.78,0,2023-01-01
APP00015,21,Male,Bachelor,Employed,36253,1581.0,6328.0,31946,84,465.0,0.3004,0.8812,48.94,0,2023-01-01
APP00016,29,Male,High School,Unemployed,14739,965.0,1377.0,106265,12,640.0,7.3032,7.2098,18.86,0,2023-01-01
APP00017,24,Male,Associate,Employed,15946,942.0,3335.0,77766,36,414.0,1.8348,4.8768,20.81,0,2023-01-01
APP00018,38,Female,Bachelor,Retired,40828,1312.0,3109.0,59963,60,634.0,0.3699,1.4687,47.15,0,2023-01-01
APP00019,25,Female,Master,Self-Employed,36736,2020.0,901.0,209628,180,663.0,0.4049,5.7063,64.24,1,2023-01-01
APP00020,21,Female,High School,Retired,12731,575.0,1181.0,23928,120,735.0,0.2807,1.8795,58.03,1,2023-01-01
APP00021,49,Male,High School,Employed,12562,411.0,5683.0,18548,360,700.0,0.5016,1.4765,52.95,1,2023-01-01
APP00022,32,Male,PhD,Self-Employed,61466,3326.0,14909.0,53545,12,740.0,1.1137,0.8711,63.6,1,2023-01-01
